term,ENTREZID
dme00514,319025
dme00514,261610
dme00514,33556
dme00514,38106
dme00514,3885645
dme00514,5740612
dme00514,5740876
dme00514,34260
dme00514,35627
dme00514,39297
dme00514,39262
dme00514,32836
dme00514,39715
dme00514,39713
dme00514,32896
dme00514,48775
dme00514,39714
dme00514,36717
dme00514,35792
dme00514,33844
dme00514,34215
dme00514,33424
dme00514,43008
dme00515,31024
dme00515,37375
dme00515,37861
dme00515,39297
dme00520,38760
dme00520,36649
dme00520,37392
dme00520,39434
dme00520,39436
dme00520,40599
dme00520,38076
dme00520,3354921
dme00520,38528
dme00520,43373
dme00520,33026
dme00520,31808
dme00520,3355116
dme00520,38370
dme00520,43504
dme00520,38223
dme00520,45884
dme00520,45875
dme00520,246535
dme00520,31630
dme00520,43191
dme00520,117364
dme00520,49815
dme00520,31935
dme00520,39065
dme00520,44010
dme00520,39031
dme00520,41863
dme00520,33783
dme00520,40442
dme00520,38911
dme00520,35923
dme00520,44008
dme00520,36730
dme00520,35886
dme00520,41192
dme00520,33935
dme00520,41687
dme00520,37390
dme00520,33903
dme00531,38423
dme00531,38528
dme00531,46386
dme00531,42266
dme00531,37197
dme00531,31808
dme00531,36487
dme00531,43746
dme00531,246425
dme00531,41457
dme00531,34544
dme00531,31423
dme00531,39994
dme00531,36394
dme00531,33839
dme00532,42991
dme00532,36079
dme00532,326156
dme00532,38288
dme00532,251900
dme00532,32259
dme00532,35848
dme00532,32497
dme00534,36614
dme00534,44433
dme00534,42991
dme00534,37198
dme00534,35569
dme00534,38288
dme00534,251900
dme00534,37161
dme00534,42380
dme00534,32918
dme00534,38736
dme00534,3772101
dme00534,35848
dme00541,38760
dme00541,37227
dme00541,40599
dme00541,31500
dme00541,317923
dme00541,37638
dme00541,39065
dme00541,41528
dme00541,39336
dme00541,32907
dme00541,36730
dme00541,33716
dme00541,33903
dme00561,39424
dme00561,38463
dme00561,40472
dme00561,40471
dme00561,40470
dme00561,40469
dme00561,40468
dme00561,38028
dme00561,40672
dme00561,38462
dme00561,38519
dme00561,33064
dme00561,43913
dme00561,35718
dme00561,35719
dme00561,35720
dme00561,40946
dme00561,43244
dme00561,42836
dme00561,326168
dme00561,44887
dme00561,37852
dme00561,32072
dme00561,35738
dme00561,5740362
dme00561,34256
dme00561,32230
dme00561,19988923
dme00561,31826
dme00561,39820
dme00561,39819
dme00561,43350
dme00561,39305
dme00561,39304
dme00561,38221
dme00561,36282
dme00561,36408
dme00561,35790
dme00561,35966
dme00561,53558
dme00561,35586
dme00561,40097
dme00561,33431
dme00562,37465
dme00562,31247
dme00562,39404
dme00562,35671
dme00562,39329
dme00562,33236
dme00562,33137
dme00562,39739
dme00562,39742
dme00562,39741
dme00562,39740
dme00562,3885565
dme00562,33658
dme00562,30995
dme00562,43582
dme00562,40670
dme00562,41701
dme00562,37360
dme00562,37707
dme00562,31157
dme00562,31376
dme00562,32589
dme00562,37633
dme00562,34300
dme00562,39841
dme00562,42446
dme00562,32601
dme00562,2768892
dme00562,326119
dme00562,31544
dme00562,32285
dme00562,33204
dme00562,37733
dme00562,43991
dme00562,37033
dme00562,36959
dme00562,37517
dme00562,39391
dme00562,45374
dme00562,42545
dme00562,33845
dme00562,38137
dme00562,32506
dme00562,40347
dme00562,40346
dme00562,32629
dme00562,37356
dme00563,31772
dme00563,38446
dme00563,38410
dme00563,37118
dme00563,34185
dme00563,40944
dme00563,43168
dme00563,33257
dme00563,38220
dme00563,35685
dme00563,36049
dme00563,31517
dme00563,246580
dme00563,31487
dme00563,117366
dme00563,35570
dme00563,33258
dme00563,8674033
dme00563,31163
dme00563,19835383
dme00563,42979
dme00563,42388
dme00563,19835548
dme00563,37020
dme00563,32909
dme00563,34116
dme00563,40139
dme00563,37470
dme00563,33425
dme00564,117353
dme00564,35665
dme00564,40472
dme00564,40471
dme00564,40470
dme00564,40469
dme00564,40468
dme00564,35554
dme00564,42249
dme00564,40672
dme00564,43461
dme00564,33064
dme00564,31747
dme00564,39734
dme00564,41625
dme00564,38180
dme00564,59176
dme00564,326109
dme00564,35689
dme00564,35417
dme00564,31716
dme00564,33597
dme00564,31402
dme00564,246656
dme00564,42836
dme00564,261623
dme00564,37852
dme00564,37672
dme00564,38823
dme00564,31899
dme00564,326259
dme00564,35738
dme00564,5740362
dme00564,32585
dme00564,32230
dme00564,31826
dme00564,35387
dme00564,53586
dme00564,39820
dme00564,39819
dme00564,41330
dme00564,43104
dme00564,40281
dme00564,43350
dme00564,34716
dme00564,42849
dme00564,36496
dme00564,39160
dme00564,34063
dme00564,34776
dme00564,42254
dme00564,43950
dme00564,47611
dme00564,36408
dme00564,35790
dme00564,39530
dme00564,36405
dme00564,35966
dme00564,53558
dme00564,33824
dme00564,32506
dme00564,35384
dme00564,33900
dme00564,40093
dme00565,36669
dme00565,35300
dme00565,35665
dme00565,40472
dme00565,40471
dme00565,40470
dme00565,40469
dme00565,40468
dme00565,35554
dme00565,43461
dme00565,31747
dme00565,39734
dme00565,31402
dme00565,246656
dme00565,31899
dme00565,326259
dme00565,35387
dme00565,36496
dme00565,39160
dme00565,34063
dme00565,43492
dme00565,36791
dme00565,35966
dme00565,53558
dme00565,32529
dme00565,35384
dme00590,35146
dme00590,35665
dme00590,43461
dme00590,32164
dme00590,31747
dme00590,41173
dme00590,39734
dme00590,5740847
dme00590,31402
dme00590,246656
dme00590,39856
dme00590,32672
dme00590,32839
dme00590,39160
dme00590,36927
dme00592,35665
dme00592,43461
dme00592,31747
dme00592,39734
dme00592,35213
dme00592,31402
dme00592,246656
dme00592,31641
dme00592,37028
dme00592,39160
dme00592,33898
dme00592,37445
dme00592,37446
dme00600,43043
dme00600,40472
dme00600,40471
dme00600,40470
dme00600,40469
dme00600,40468
dme00600,38396
dme00600,43662
dme00600,38528
dme00600,250736
dme00600,43618
dme00600,40640
dme00600,32089
dme00600,31808
dme00600,42796
dme00600,41457
dme00600,318721
dme00600,38823
dme00600,326219
dme00600,34835
dme00600,37884
dme00600,50392
dme00600,36448
dme00600,34910
dme00600,37782
dme00600,37516
dme00600,41436
dme00600,35966
dme00600,53558
dme00600,46059
dme00600,33836
dme00600,33839
dme00601,33512
dme00601,246409
dme00601,43124
dme00603,38528
dme00603,33512
dme00603,31808
dme00603,34355
dme00603,43124
dme00603,36829
dme00604,38528
dme00604,31808
dme00604,41457
dme00604,33839
dme00604,39876
dme00620,47173
dme00620,45880
dme00620,39469
dme00620,39470
dme00620,37130
dme00620,31695
dme00620,31830
dme00620,49997
dme00620,35761
dme00620,40409
dme00620,39490
dme00620,43437
dme00620,39945
dme00620,40708
dme00620,36510
dme00620,33763
dme00620,36020
dme00620,34807
dme00620,35656
dme00620,37131
dme00620,36556
dme00620,41910
dme00620,59175
dme00620,40946
dme00620,33475
dme00620,43244
dme00620,318995
dme00620,5740441
dme00620,3771877
dme00620,34256
dme00620,31605
dme00620,31606
dme00620,40299
dme00620,39817
dme00620,34021
dme00620,34414
dme00620,43936
dme00620,42589
dme00620,39281
dme00620,41311
dme00620,31406
dme00620,31407
dme00620,42621
dme00620,42620
dme00620,41787
dme00620,39988
dme00620,36839
dme00620,3772542
dme00620,3772692
dme00620,42185
dme00620,38147
dme00620,40348
dme00620,40097
dme00630,39469
dme00630,39470
dme00630,31695
dme00630,40492
dme00630,37541
dme00630,40708
dme00630,41468
dme00630,32087
dme00630,3771779
dme00630,31960
dme00630,33172
dme00630,31524
dme00630,38358
dme00630,326220
dme00630,31579
dme00630,31587
dme00630,41253
dme00630,41326
dme00630,42689
dme00630,34414
dme00630,39986
dme00630,39985
dme00630,41269
dme00630,34474
dme00630,40048
dme00630,39988
dme00630,40349
dme00630,42185
dme00630,38147
dme00630,44149
dme00630,34198
dme00630,40348
dme00630,33907
dme00630,33431
dme00640,45880
dme00640,44001
dme00640,38447
dme00640,35761
dme00640,41067
dme00640,36510
dme00640,37166
dme00640,35213
dme00640,3355069
dme00640,30995
