"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
3.42521700228901,5.2233484096062,2.59997940250289,2.00899607303731,0.0445375501969287,NA,"Adgf-B"
34.1922192136492,-0.0621868549733202,0.466854890079595,-0.133203820490598,0.894032189459949,0.996870824825408,"Adgf-C"
769.904858707813,0.202768595160235,0.252863532327863,0.801889435354896,0.422616917828278,0.955684191289319,"Adgf-D"
7.71739219339937,3.83736246583906,1.97279737944899,1.94513765367574,0.0517584131244854,0.443837931851409,"Adgf-E"
185.926892888063,0.414322710590433,0.290784206510777,1.42484598995949,0.154201724895164,0.709711764210798,"Adh"
0,NA,NA,NA,NA,NA,"Adhr"
539.235778799188,-0.127251177790737,0.15936418624308,-0.79849294117211,0.424584487835539,0.955758256590855,"Adi1"
12.4970804582608,0.143002532673463,0.87242009248972,0.163914762973146,0.8697982451207,0.996870824825408,"AdipoR"
10.1188419080662,3.812344489745,1.92306489815332,1.982431530733,0.0474309635290107,0.425054403933058,"Adk1"
14.4900597963079,-0.907480795825939,0.854112647058718,-1.06248373554824,0.288016137800088,0.89487014925148,"Adk2"
1751.23893307126,1.14145217396429,0.180355214428576,6.32891140730685,2.46896806417412e-10,4.84437523328481e-08,"Adk3"
0,NA,NA,NA,NA,NA,"AdoR"
779.032265405178,0.250480651042314,0.15386074625926,1.62796981772237,0.103531285758428,0.598424322460289,"Adsl"
3369.5655380098,0.122567929787187,0.241698624684112,0.507110580158977,0.612077231810534,0.986978772225805,"Adss"
43.3889032645999,0.124765816453977,0.406820980367064,0.306684813407125,0.759083290253099,0.995153003289659,"Aduk"
3.19296191517326,3.10811280841005,1.70422678002504,1.82376714463106,0.0681872829574449,NA,"Ae2"
150.3099899319,0.0368049026682309,0.253362453292233,0.145265812633174,0.884501005935708,0.996870824825408,"Aef1"
397.409381306174,0.222297698726036,0.247610520263225,0.897771623312774,0.369307316001976,0.938780042897554,"Afg3l2"
83.2265067135679,-0.294665913880837,0.390681504428538,-0.754235638341401,0.450707741515732,0.972112566711557,"Afti"
0,NA,NA,NA,NA,NA,"Ag5r"
138.036877354739,0.397225232140159,0.587330148756426,0.6763235856038,0.498835221299334,0.981369751472366,"Ag5r2"
74.0278847346413,-0.103917988949257,0.284227154291802,-0.365615977854704,0.714651650812004,0.99377249529392,"AgmNAT"
0.813768364055428,1.86064332117528,2.62626987701899,0.708473770139436,0.478651095323797,NA,"Agpat1"
0.515468560714503,2.48740572383596,3.99094179828536,0.623262841092957,0.533111812182898,NA,"Agpat2"
11.7470878879071,-0.395263501359506,0.685144900495693,-0.576904974514936,0.56400364996707,0.982324539946369,"Agpat3"
0.672879171700889,-1.50717101155031,3.29364224085035,-0.457600097805764,0.647239773227849,NA,"Agpat4"
0.343645707143002,1.8997983161881,4.03259147008314,0.471111028796808,0.637561449693915,NA,"Agps"
1939.90790111614,-0.212638133018609,0.145521278680915,-1.46121677149953,0.143955961817824,0.687154706346797,"Agxt"
20.2172583371993,-0.437347285259002,0.688162046782814,-0.6355295054466,0.525083129557724,0.981949904176841,"Ahcy"
925.508310135141,-0.111058080994479,0.150301900751327,-0.738900043441388,0.459967695966896,0.974272308626331,"AhcyL1"
0.645562709769632,1.44988453480605,3.33129106071252,0.435232019172751,0.66339402346674,NA,"AhcyL2"
33.2989825892078,0.504371990831121,0.475718855469529,1.0602312374886,0.289039413207373,0.89487014925148,"Ak1"
1.16599664408397,-1.31122500362959,2.10107782011552,-0.624072555083893,0.532579936906207,NA,"Ak2"
0,NA,NA,NA,NA,NA,"Ak3"
84.0443990340683,-0.529997918809703,0.320070389496634,-1.65587925719469,0.0977462730541542,0.586913678671667,"Ak6"
10.0769799858931,-0.6165880852395,0.808622618149513,-0.762516495829076,0.445751801659158,0.969069099575693,"Akap200"
47.7247278864523,-0.565745136805314,0.409708234171186,-1.38084883246191,0.167325445267872,0.737850646227282,"Akh"
25.837217818728,-0.939357846649401,0.49757001986729,-1.88789076741389,0.0590406162613169,0.475884089837875,"AkhR"
0,NA,NA,NA,NA,NA,"Akr1B"
92.8611896642959,0.311120400630403,0.2622628973065,1.18629209021055,0.235506969231124,0.83912565832547,"Akt"
2.68115741632418,-0.759494315460324,1.44205312424769,-0.526675683918752,0.598418824351181,NA,"AlaRS"
