"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG5762",4.98608457002998,0,123.712454571481,0,0,2.01303141884727
"CG5767",5.98330148403598,7.39176175789573,0,18.1444720065078,22.5650226769824,4.02606283769454
"CG5768",0,0,0,0,0,0
"CG5770",2.99165074201799,0.923970219736966,3.09281136428701,3.81988884347533,3.07704854686124,4.02606283769454
"CG5773",31.9109412481919,30.4910172513199,43.2993591000182,12.4146387412948,26.6677540727974,11.07167280366
"CG5776",8.97495222605397,18.4794043947393,9.27843409286104,13.3696109521637,13.3338770363987,16.1042513507781
"CG5781",2.99165074201799,5.5438213184218,16.4949939428641,0.954972210868833,1.02568284895375,3.0195471282709
"CG5783",378.942427322279,422.254390419794,417.529534178747,298.906302001945,427.709748013712,438.840849308704
"CG5787",0,0,0,0,0,0
"CG5790",0,0,0,0,0,0
"CG5793",0,13.8595532960545,0,0,3.07704854686124,1.00651570942363
"CG5800",122.657680422738,146.911264938178,116.495894721478,166.165164691177,129.236038968172,140.912199319309
"CG5805",11.966602968072,8.3157319776327,6.18562272857403,7.63977768695066,15.3852427343062,15.0977356413545
"CG5808",16.9526875381019,27.719106592109,9.27843409286104,21.9643608499832,17.4366084322137,18.1172827696254
"CG5810",16.9526875381019,7.39176175789573,8.24749697143204,14.3245831630325,8.20546279162997,8.05212567538907
"CG5815",0,0,0,0,0,0
"CG5819",0,1.84794043947393,0,1.90994442173767,1.02568284895375,2.01303141884727
"CG5823",0,0,0,0,0,0
"CG5828",1.99443382801199,0.923970219736966,3.09281136428701,6.68480547608183,4.10273139581499,4.02606283769454
"CG5835",163.543573896983,141.367443619756,140.207448514345,158.525387004226,144.621281702478,195.264047628185
"CG5846",0,0,1.030937121429,0,0,0
"CG5849",0,0,0,0,0,0
"CG5850",12.963819882078,11.0876426368436,10.30937121429,14.3245831630325,13.3338770363987,6.0390942565418
"CG5853",0,0,6.18562272857403,0,0,0
"CG5854",631.238306565796,788.146597435632,694.851619843149,825.095990190672,886.189981496037,812.258177504873
"CG5860",0,0,0,0,0,0
"CG5861",382.931294978303,299.366351194777,380.415797807303,339.970107069305,369.245825623349,478.094961976226
"CG5863",0,1.84794043947393,3.09281136428701,0,0,1.00651570942363
"CG5866",0,0,0,0,0,0
"CG5877",0,0,1.030937121429,1.90994442173767,0,0
"CG5880",55.8441471843358,51.7423323052701,57.7324788000243,68.757999182556,47.1814110518723,62.4039739842653
"CG5882",0,0.923970219736966,0,0,0,0
"CG5883",25.9276397641559,15.7074937355284,35.0518621285862,25.7842496934585,35.8988997133811,19.123798479049
"CG5885",0,0,0,0,0,1.00651570942363
"CG5886",835.667773937025,847.280691498798,763.924406978893,591.127798527807,702.592751533316,997.457068038821
"CG5888",13.961036796084,21.2513150539502,12.3712454571481,15.2795553739013,18.4622912811674,21.1368298978963
