"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"CG14854",6.76756167772635,5.9012170315101,9.24334942220007,7.48614862890922,9.78716910292216,8.96202252731772
"CG14855",127.616877351411,122.942021489794,107.558975094692,157.209121207094,180.083911493768,159.075899859889
"CG14856",81.2107401327162,112.123123598692,76.4677088563824,135.820125124496,112.552444683605,112.025281591471
"CG14857",79.2771510819372,59.012170315101,55.4600965332004,84.4865345262612,71.4463344513318,70.575927402627
"CG1486",0,0,0,0,0,0
"CG14860",8.7011507285053,0,6.72243594341823,0,5.8723014617533,8.96202252731772
"CG14861",1318.70773263125,1259.90983622741,1391.54424028757,1380.65969713169,1086.37577042436,1081.0439673577
"CG14864",0,0,0,1.06944980412989,0,0
"CG14866",0,0,0,0,0,0
"CG14868",405.086906138191,298.994996263179,384.859457760694,357.196234579383,293.615073087665,276.702445530934
"CG14877",2.90038357616843,16.720114922612,7.56274043634551,10.6944980412989,6.85101837204551,3.36075844774414
"CG14879",1.93358905077896,0,4.20152246463639,0,0,1.12025281591471
"CG14881",0,0,0,0,0,0
"CG14882",2.90038357616843,0.983536171918351,7.56274043634551,3.20834941238967,2.93615073087665,0
"CG14883",356.747179868717,346.20473251526,333.60088369213,330.459989476136,459.996947837342,414.493541888444
"CG14891",869.148278325141,818.302095036068,843.665710898988,922.935180964094,781.016094413188,863.714921070245
"CG14892",37.7049864901896,53.1109532835909,56.3004010261277,51.3335905982347,55.7868638866563,85.1392140095183
"CG14893",195.292494128675,161.29993219461,151.25480872691,105.875530608859,104.722709401267,79.5379499299447
"CG14903",103.447014216674,119.991412974039,93.273798714928,54.5419400106243,114.509878504189,117.626545671045
"CG14907",198.192877704843,172.118830085711,170.581812064238,227.792808279666,243.700510662762,269.980928635446
"CG14913",5.80076715233687,6.88475320342846,8.40304492927279,16.0417470619483,7.82973528233773,2.24050563182943
"CG14915",0,0,0,0,0,0
"CG1492",0,0.983536171918351,0,0,0,4.48101126365886
"CG14926",0,1.9670723438367,0,0,0,0
"CG14929",0,0,0,1.06944980412989,0,0
"CG14930",0,0,0,0,0,0
"CG14931",5.80076715233687,9.83536171918351,4.20152246463639,14.9722972578184,7.82973528233773,6.72151689548829
"CG14932",0,0,0,0,0,0
"CG14933",0,0,0,0,0,0
"CG14937",55.1072879472003,61.9627788308561,60.5019234907641,34.2223937321564,51.8719962454874,25.7658147660384
"CG1494",10.6347397792843,0.983536171918351,1.68060898585456,0,2.93615073087665,1.12025281591471
"CG14947",3.86717810155791,9.83536171918351,4.20152246463639,2.13889960825978,4.89358455146108,6.72151689548829
"CG14949",45.4393426933055,19.670723438367,13.4448718868365,392.488078115669,62.6378822587018,334.9555919585
