,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
CG45690,4.21020564928023,2.31941646522712,1.2783690645983,1.81435590821024,0.069622949296782,0.25139459718149,CG45690
maca,348.804518376934,0.305692697418176,0.168533905589154,1.81383500459179,0.069703131576719,0.251586039263832,maca
lncRNA:CR46122,8.67478494683518,1.5863491230822,0.87470714762846,1.81357740974585,0.0697428109519367,0.251586039263832,lncRNA:CR46122
magu,20.2908265724925,0.95018235053082,0.523984983017938,1.81337706485052,0.0697736844813675,0.251586039263832,magu
CG31559,29.1824403985837,0.823541888539107,0.45422775594122,1.81305936893403,0.0698226650271195,0.251586039263832,CG31559
asRNA:CR46264,4.17517260509581,2.3069888867595,1.272449868815,1.8130292935689,0.0698273033375849,0.251586039263832,asRNA:CR46264
ArgRS,547.669276799426,-0.300729908352495,0.165887354464464,-1.81285613555864,0.0698540131909929,0.251586039263832,ArgRS
EMC3,702.807718886599,-0.263567545116728,0.145389884033676,-1.8128327625303,0.0698576191540212,0.251586039263832,EMC3
Pp2B-14D,75.6694156222825,-0.54735299846053,0.302031536300087,-1.81223790457663,0.0699494445732372,0.251743097096943,Pp2B-14D
AttC,25.4909259415806,0.987816819303123,0.545118105965776,1.81211522510893,0.0699683943414139,0.251743097096943,AttC
CG4849,126.331920245006,-0.428974032558525,0.236734659202114,-1.81204574777656,0.0699791280738796,0.251743097096943,CG4849
GckIII,448.52554793086,-0.304218149878404,0.167936238333743,-1.81150984979088,0.0700619657593456,0.251947610547795,GckIII
CG18011,79.5312578074354,0.520347631236097,0.287286646395468,1.81124893121488,0.0701023269782156,0.251999280702188,CG18011
CG13054,159.354189520916,-0.491028521514484,0.271186905063704,-1.81066457246207,0.0701927900389082,0.252230948638701,CG13054
Pkc53E,448.380124606248,-0.305424525613301,0.16869976530215,-1.81046206594461,0.0702241618877121,0.252250185069051,Pkc53E
CG13065,16829.6462304199,-0.349760749319656,0.193210247863618,-1.81025982414008,0.0702555042092222,0.252269301225337,CG13065
CG42851,205.230499839926,0.363795785063143,0.201037923725238,1.80958785448038,0.0703597248010777,0.252473951294224,CG42851
GramD1B,13.8363716893296,1.1260653138002,0.622332612419975,1.80942681024128,0.0703847211397527,0.252473951294224,GramD1B
CG17712,205.56172382573,-0.349795534869168,0.193322483399092,-1.80938879285476,0.0703906230374716,0.252473951294224,CG17712
CG12123,243.345753197658,0.357204689714765,0.197452221365172,1.80906898511992,0.0704402867262144,0.252558646379678,CG12123
CG46462,732.488744840069,0.379097090809077,0.209634690714176,1.80837002462514,0.0705489299995867,0.252854667780404,CG46462
GlnRS,564.908260196896,-0.277624396921613,0.153569262558398,-1.80781226852633,0.0706357236656619,0.253072188077824,GlnRS
CG42536,298.055945977938,0.366578810184267,0.202814158699013,1.80746163155349,0.070690331885081,0.253174276921264,CG42536
w,1482.15423937021,-0.240811246039996,0.133270829894696,-1.80693139098986,0.0707729773420727,0.253376667404503,w
CG12483,19.984346102376,-1.07961169538764,0.597547832854957,-1.80673686026018,0.0708033175557282,0.253391717867399,CG12483
CG43331,294.741470920046,0.362457268954706,0.200678857492294,1.80615573301549,0.0708940172794054,0.253622692813224,CG43331
Apoltp,822.513743548206,0.291472377757256,0.1614620020776,1.80520725623835,0.0710422558897193,0.254059266267366,Apoltp
lncRNA:CR45792,5.2136943732232,1.94758292655682,1.07902673401512,1.80494409004099,0.0710834314680945,0.25411278321651,lncRNA:CR45792
lncRNA:CR44225,17.5927372669953,1.02126694827083,0.566506267353739,1.80274607206266,0.0714281029983108,0.255250814068789,lncRNA:CR44225
CG44439,4.50325734374339,2.0520696586662,1.1385675627417,1.80232576951759,0.0714941664446488,0.25539275743584,CG44439
CG10164,35.5621431997652,0.745131997083186,0.413531227254539,1.80187600832509,0.071564915672162,0.255551328707776,CG10164
Gos28,226.370152117243,-0.337050371040238,0.187112061079523,-1.80132894210914,0.0716510486868718,0.255680646718112,Gos28
dpr14,256.145737590388,-0.384371656864019,0.213384394305231,-1.80131100081387,0.0716538748976907,0.255680646718112,dpr14
DMAP1,210.662068628876,-0.358289717258502,0.198942700737787,-1.80096940440524,0.0717077024570651,0.25577857811672,DMAP1
CG32066,57.5259078635703,-0.674839682833912,0.374912402698175,-1.79999295295972,0.0718617509628005,0.256233790211236,CG32066
CG32548,1442.89487739152,0.94885334227844,0.527293862623992,1.79947731148742,0.0719432097408859,0.256390737623379,CG32548
lncRNA:CR45025,11.5053270326459,1.30990350677322,0.727975090707625,1.79937957149047,0.0719586588007441,0.256390737623379,lncRNA:CR45025
CG32295,776.654744735219,0.278379415135505,0.154725237999088,1.79918556749705,0.0719893316695603,0.256405793731222,CG32295
CG8149,348.862098322216,-0.321063073554102,0.178550849233229,-1.79816043963319,0.0721515866558688,0.256760924439221,CG8149
lncRNA:CR44735,25.6271189928876,0.871406216634003,0.484621297402312,1.7981178732857,0.0721583304346009,0.256760924439221,lncRNA:CR44735
CG10026,13.6805614906518,-1.15797492590084,0.644023351081805,-1.79803251536721,0.0721718552296,0.256760924439221,CG10026
AhcyL1,890.609823515063,-0.257877488899375,0.143433676013992,-1.79788663350034,0.0721949747314406,0.256760924439221,AhcyL1
CG7728,223.434789490757,-0.364783893299137,0.202946396953794,-1.79743961348665,0.0722658566717228,0.256886029652358,CG7728
Crag,170.358924522468,-0.373189551486019,0.207648690487151,-1.79721601234519,0.0723013334682789,0.256886029652358,Crag
Vps53,300.81824142005,-0.310855504855509,0.172984846869074,-1.79701002996397,0.0723340274718144,0.256886029652358,Vps53
CAH1,66.7702920388851,0.536350451888358,0.298491329050123,1.79687113054562,0.0723560807439467,0.256886029652358,CAH1
CG13186,458.457734568523,0.288819018917651,0.160752771550456,1.7966658747591,0.0723886795957065,0.256886029652358,CG13186
E2f1,4.63154397419147,-1.99464206399527,1.11034417134361,-1.79641782743957,0.0724280906709455,0.256886029652358,E2f1
CG4956,309.743051851333,0.33589100877,0.186979883824296,1.7964018476214,0.0724306302315022,0.256886029652358,CG4956
lncRNA:CR45614,9.5718093635851,1.36544882924038,0.760132710859095,1.79632952211353,0.0724421253295045,0.256886029652358,lncRNA:CR45614
vrs,4485.28865865991,0.243764079924516,0.13573729118059,1.79585195641044,0.0725180650174234,0.257061294458472,vrs
Gcat,57.9388201955706,-0.691293277756627,0.385036561108988,-1.79539645732746,0.0725905565109214,0.257224212490272,Gcat
Nca,1106.6922915651,-0.244267401024575,0.136095586312519,-1.79482235716049,0.0726820075442263,0.257454169945661,Nca
CG42724,81.6548428691258,-0.504743243852826,0.281347385686837,-1.79402144654952,0.0728097457714219,0.257812448960532,CG42724
CG14739,906.566899549397,0.273890247958304,0.15270696929444,1.79356743980824,0.0728822374270734,0.257974914879692,CG14739
Arp1,1057.47342206806,-0.25276291381921,0.140976519416332,-1.79294335585595,0.0729819818477,0.258233691245785,Arp1
SMC1,418.395562710645,-0.286358996028743,0.159802423832094,-1.79195652457451,0.0731399304103359,0.258698148605694,SMC1
CG30356,380.772005919382,0.343140571929177,0.191543728885467,1.79144769669988,0.0732214807292843,0.258892142841142,CG30356
CCT8,1436.0154018548,-0.262888058854701,0.146827272045206,-1.79045796596808,0.0733803188593056,0.259359165636518,CCT8
Acer,15.884927427847,1.02373633113156,0.572063154568415,1.78955124614502,0.0735260821450315,0.259779652476706,Acer
betaNACtes6,12.6463738347914,1.31831108646533,0.736915747233598,1.78895768127401,0.0736216311657989,0.259928676785879,betaNACtes6
Dph5,290.298150686622,-0.321161174556129,0.179531990687993,-1.78887992789136,0.0736341550237355,0.259928676785879,Dph5
