"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"CG46397",1.47201994511383,1.3883880553154,1.02190658446217,-0.538637888814758,-0.268453601865316,1.38881339402376,-0.901099085395216,-0.535173466885179,-0.702526743111866,-0.878770508569033,-1.00602080597092,-0.440445878302863
"Drsl5",1.38300327022849,0.743345799556351,0.879099609624267,0.999275661054894,1.14650128998822,0.354745884861543,-0.737689020220493,-1.11880912576205,-0.625239156573454,-1.16143610357678,-1.09307153493184,-0.769726574249128
"lncRNA:CR45148",1.28895314156172,1.08347087317607,1.02010839001267,1.35776150872672,0.872701736709536,-0.831497560215797,-0.800565298186643,-0.784950742199671,-0.791683343153754,-0.794819107579756,-0.827729108661339,-0.791750490189759
"CG10962",1.41961624745329,1.79909960796278,1.40479734138409,0.0996623122361789,-0.456907939766165,-0.5269447687177,-0.535884477681352,-0.327842014908612,0.0378817598554349,-1.14850709819667,-0.934394562795708,-0.830576406825521
"t",1.58376372319589,1.620280501981,1.47993873696193,0.0723944603075174,-0.830777102505957,0.0124456800738082,-0.429291238254288,-0.813086019882235,-0.186012219911379,-0.824747401116108,-0.863790148166241,-0.82111897268393
"CG43218",1.36576941852596,1.45235342710113,1.10464298664292,-0.0637338306070433,0.22479060953951,-1.33462714735985,0.324077500132846,-0.224149420275148,0.219115164197795,-1.01737239274451,-0.465106780463156,-1.58575953469044
"CG12224",1.38277935511469,1.15777878895231,1.13034884517013,0.684058719913325,0.645428221205741,0.196502756974677,-1.05962136627187,-1.27723676326383,-0.88867988849974,-0.342279422741911,-0.286020072029274,-1.34305917452425
"rst",1.02259539735986,2.16703033160997,1.0056592943342,-0.553440781900333,-0.0409969153136567,0.256928524046828,-0.69412104059543,-0.840459005403796,-1.52914255609446,-0.419414604324838,0.0367341133635995,-0.411372757081947
"Adk3",0.703273302543336,0.720457592908516,0.654419804519982,1.23756513870719,0.445238443190285,1.37829835676842,-1.16519179738367,-1.74490109746308,-0.86530948876949,-0.676386926775826,-0.139211897881498,-0.548251430364112
"lncRNA:CR44922",0.796130056036467,0.74678969231714,1.09437361097559,0.95413830164118,0.611690718285136,1.32975693682308,-0.601074828780108,-1.29354752034529,-0.750860451737263,-0.963829482581897,-1.26233272461794,-0.661234308016075
"DNAlig3",1.0587458640309,1.27194830501696,0.871351287624328,1.08809926396396,0.626888343724148,0.728771863073902,-1.05046003808849,-0.994438150735291,-0.759369367456237,-0.84379124256915,-1.09214788540957,-0.905598243175446
"CG14893",0.928742415404497,1.01360862007152,0.802734387766637,0.912976529781665,0.624299493045867,0.544027213575619,-1.03724169087205,-2.18839538646836,-0.903571891499413,-0.0511377769765851,-0.15912468113538,-0.486917232694024
"Cyp28a5",1.46685841637478,1.75556576274122,1.01506550298916,-0.0106173647567003,0.659419474898195,-0.262173476323945,-0.376250241571758,-0.319801294652459,-0.693561624466518,-1.12401169214311,-0.963276335699493,-1.14721712738942
